jobss,,,,,,,
Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 ," C#, MS Dynamics CRM, Microsoft Dynamics, ms dynamics",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,3 - 7 ," sales manager, business development manager, relationship manager, brokers, insurance sales, channel sales, direct sale, direct marketing, sales, Marketing Executive, Territory Sales Manager",Retail/Personal Banking,"Bhilai/Bhillai,Bhilwara,Bhopal,Bhubaneshwar,Bikaner,Bilaspur,Bokaro,Chandigarh,Burdwan","Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer
 Business Development / Corporate Sales,0 - 4 ," lead generation, business development, corporate sales",Retail Sales,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Business Development Manager (BDM),2 - 5 ," contract management, closing, it services, relationship building, managed services, selling, market research, business development manager, sales",Retail Sales,"Delhi,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 QA Executive,2 - 5 , QA Executive,QA/Testing/Documentation,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive
 Back End Java Developer - Restful Services/soap,6 - 8 ," Java EE, JMS, Core Java, JUnit, Weblogic, HTML, JPA, JSON, SOAP, SQL",Programming & Design,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 Product Engineer,4 - 9 ," Conceptualization, Architecting, Continuous improvement, SIDE, development, Front end, it",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 , Articulate Storyline,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer
 Urgent Hiring for Area Sales Manager,7 - 12 ," Area Sales Management, Retail Sales, FMCG, Chocolate, confectionary, ASM, Area Sales Manager, area business manager",Retail Sales,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager
 Software Engineer - C++ Development - Ooad/oops,4 - 9 ," C#, Java, OOP, C++, Multithreading, UML, OOAD, OOPS, .Net, debugging",Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Linux Administrator Lead,5 - 10 ," qmail, workflow, nagios, windows server, networking, mysql, monitoring, redhat, maintaining, centos",Admin/Maintenance/Security/Datawarehousing,"Gurgaon,Gurgaon","IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator
 Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 ," Java, JPA, Hibernate, Project Management, JDBC, Scrum Master, Microservices, Agile, SOAP, Rest",Project Management,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
 Assistant Professor (Grade I)-Theoretical Computer Science,3 - 5 ,,,Delhi,"Teaching , Education , Training , Counselling","Education, Teaching, Training",
 US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 ,"Java, java api, Banking, j2ee, API, finance, core java, microservices",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Strong Partner Ecosystem,2 - 7 ,"GIS, ISO 27001, HR, information system, process, ISO 9001, Information security management, GIS software, Management, Edge",Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
 Wordpress Web Developer,3 - 6 ,,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Senior Executive- Contract Logistics- Bom WP-A,2 - 5 ," Administration, Administrative Support, Contract Logistics, Staff Development, Site Management, Quality Improvement, warehousing, Warehouse Operations",Logistics,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive
 Accounts Manager,2 - 3 ," filing, tds, service industry, pf, esi, returns, coaching, payroll, invoice, tally",Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 ," Outbound, Antivirus, Technical support, Sales, Spot, Inbound calls, pay, Medical, Comp",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 nutanix sme ,15 - 20 ," Troubleshooting, DNS, DHCP, Monitoring, Virtualization, Shell scripting, Python, VMS, Open source, Archiving",Technical Support,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager
System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 ,"4G, 3GPP, 3G, System Architect, LTE, Radio Access Network, PhD, IEEE",Programming & Design,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",2 - 7 ,"arm processor,c,device drivers,embedded linux,linux kernel,ipc",Programming & Design," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Java Developer,6 - 8 ,"JMS, Core Java, Sonar, Weblogic, XML, J2Ee, SVN, Spring, Oracle 11G, SQL",,Pune,Other,Other,Other
 Regional Representative,0 - 3 ," market, presentation, strong analytical skills, english, presentation skills, developing, customer interaction",Institutional Sales,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Hiring For Record To Report,1 - 4 ," fixed assets, accounts payable, record to report, general accounting, general ledger",Voice,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Product & Regional Sales Manager,3 - 6 ," Team management, Regional sales, Management",Retail Sales,Mumbai,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager
 Senior Manager/associate Director - Mandarin,10 - 15 ," Commercial Activities, Commercial Sales, Online Sales, Senior Management, Budgeting, Strategy Implementation, Marketing, E - commerce",Senior Management,"Delhi,Gurgaon","Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales
 ODI Developer/lead ODI Developer - RACI,5 - 10 ," ODI, Matrix",Programming & Design,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 UI Developer,2 - 4 ," javascript, sql, php, php mysql, css, software development, technical, photoshop, mca, ajax, jquery, application, web, design, mysql, html",Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Assistant Manager ,5 - 8 ," Relationship management, Relationship building, Client relationship, Training, Analytical skills, Process mapping, Standard operating procedures, Agile, Management, Visa processing",Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
 Android Developer,2 - 5 ," android, btech, iphone, server, analytical, developing, ios, platforms, objective c, web, xml, design, json, programming, development, c, testing, mobile, xcode, application development, eclipse, application, sdk, applications",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,1 - 4 ," cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel",Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 iOS Developer,2 - 5 ," bca, graphics, application development, b tech, core, b sc, application, b e, ios, publishing, animation",Programming & Design,"Chandigarh,Chandigarh",IT Software - Mobile,"IT-Software, Software Services",Software Developer
 F&A Black belt - Process Excellence Lead,8 - 13 ," Accounting, Continuous Improvement, Process Improvement, Load Balancing, Lean Six Sigma, Black Belt, Training, Green Belt, Process re - engineering, Process Excellence, Business Excellence, OTC",Back Office/Web/Transaction Processing,"Chennai,Gurgaon,Bengaluru","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical)
 IT - Head (preferably from an NGO),15 - 20 ," networking, information technology, network administration, technical support, support services, license management, disaster recovery, data security, it training, it software",,Delhi NCR,Other,"NGO, Social Services, Regulators, Industry Associations",Other
 Digital Content Producer For largest Media House,3 - 8 ," Automobile, Digital Content, Content Development, Production, Web Content Writing",Content Development,"Bengaluru,Hyderabad","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Manager Holidays,6 - 10 ," Tourism, target achievement, negotiation skills, revenue management, Tour Packages",Retail Sales,Mumbai,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager
 Backend Developer,1 - 5 ," PHP, Networking, Data structures, HTTP, JSON, Software design, Computer science, System design, Backend, Ticketing",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
 JUNIOR BIG DATA ANALYST IN,1 - 3 ,,Operations,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst
 Chief Engineer,11 - 15 ," Chief Engineer, Hospitality, HVAC, Maintenance, Water Treatment, Energy Conservation, Capital Expenditure",,Hyderabad,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director
 Oracle DBA Consultant - Data Guard/rac Modules,2 - 5 ," WebLogic, configuration, MySQL, installation, Oracle DBA, troubleshooting, Oracle RAC",Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
 Global HR Operations Analyst,1 - 4 ," Service level, Data management, HR Coordinator, Management audit, HR operations, Human resource management",HR/ Recruitment / IR,Gurgaon,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive
 Compiler- Support Engineer,5 - 10 ," Graphics, C++, Windows OS, Linux, high performance computing, Test cases, System software, Gaming, FreeBSD",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
 Key Accounts Manager,0 - 0 ,,Advertising,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager
 Head Sales- Coworking Company,7 - 12 ," Sales, Team Building, Strategic Leadership, Real Estate, Field Sales, Sales Strategy, Enterprise Business, Go - to - market Strategy, Enterprise sales, Sales Executive Activities, Marketing",Senior Management,Delhi NCR,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales
" Clubhouse Manager, Facility Manager,",2 - 5 ," Facility Management, facility services",Health & Fitness,Bengaluru,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager
 IP DRG / Surgery / ED / Denials Coders,1 - 5 ,"sds, radiology, CPT, icd - 10, EM, medical coding, coders, surgery, ed",Voice,"Chennai,Hyderabad,Trivandrum","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Manager - Education Sales,5 - 7 ," Market analysis, Public relations, CV, Relationship building, Market intelligence, Prospecting, Budgeting, Sales process, Branding",Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
 HR Associate,0 - 2 ," ERP, MIS, Succession Planning, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,4 - 9 ," revenue generation, marketing, ad sales, web technologies",Corporate Sales,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Architect Junior/ Middle level,1 - 2 ," co ordination, team management, drafting, loans, online, coordination, quality",Architectural Services,Noida,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect
 php developer,3 - 4 ," English, PHP, XML, DOM, SOAP, Com, Web technologies, Written communication, Email, Time",Programming & Design,Gurgaon,IT Software - Other,"Recruitment, Staffing",Software Developer
 Openstack Engineer / Openstack Admin with Ceph Storage,6 - 11 ," cloud, puppet, python, git, KVM, linux, jenkins, openstack, ansible",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
 Sr. Software Engineer,4 - 8 ,"National, Branch, Vice President, J2Ee, Software",Programming & Design,Noida,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer
 Software Engineering- Mentor,1 - 5 ," Mentor, Android, Consulting, Usage, development, software, mobile, it, SIDE, Front end, Web technologies, Coding, web, backend, Open source, programming, Investment",Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Application Tester,3 - 8 ," Performance Testing, Software Testing, Manual Testing, Quality Testing",Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
 Credit Control - Manager / Asst. Manager,3 - 5 ," Pivot Table, Credit Analysis, Tally ERP, Accounting, VLOOKUP, Finance, Lookup, Advanced Excel, HLOOKUP, Credit Control",,Pune,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other
 Night Shift - Non Voice / Web Chat - BPO,0 - 5 ," international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher",Voice,"Ahmedabad,Gandhinagar,Vadodara","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Executive,2 - 4 ," Innovative, Aggressive",Front Office/Customer Care,"Bengaluru,Hyderabad (1) ,Gurgaon,...More","Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Design Engineer Mechanical,7 - 12 ," Communication Skills, Detail Engineering, Material Handling, AutoCAD, Detailing, Design Engineering, Microstation, Bid Evaluation",Engineering Design,Kolkata,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer
 Android developer,1 - 3 ," design, android, erp, software, mvc, quality",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Technical Writer,4 - 7 ," Technical Writing, Technical Documentation, Articles, Writing Skills, Product Support",QA/Testing/Documentation,Gurgaon,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer
" Pro-Engineer , Matlab ,Ansys",3 - 7 ," Ansys, thermal, MATLAB, System design, Recruitment, MCCB, Electricals",Engineering Design,Hyderabad,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer
 Business Development Executive - Kolkata,2 - 6 ," Product placement, Market research, Distributor handling, Business Development Executive, Customer service, Customer Service Executive, Secondary sales, Supervision",Retail Sales,Kolkata,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager
 Accountant - UK Based Accounting,1 - 6 ," Management accounting, Accounting, VAT, Book Keeping, SAGE, Tax returns",Accounts,Ahmedabad,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
" Opportunity For Current Account RM ,,bank ,, Delhi",2 - 7 ," Trade, Forex Trading, Forex, fx, Lead Generation, Accounting, Banking, Revenue Generation, Current Account",Retail Sales,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 PHP Developer,1 - 5 ," XML, Javascript, PHP, development, css, technical, analytical, software, testing, HTML, tools, Joomla, coding, jQuery, web, MySQL, Wordpress, design, XHTML, debugging, Ajax",Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior Engineering Maintenance Manager For Knitting and ZLD System,12 - 22 ," zld, Engineering Management, knitting",Production/Manufacturing/Maintenance,Bengaluru,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager
 Accounting Specialist,0 - 3 ," Analyst, ERP, Change management, Business objects, Managed services, Business process mapping, Executive management, Data mining, oracle project accounting, Testing",Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant
 Manager (Service Operation),8 - 12 ," ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",HR/ Recruitment / IR,Chennai,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager
 DevOps Engineer Intern,0 - 1 ," Intern, Linux, Windows, Unix, DNS, C++, Perl, IIS, Redhat, HTTP",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),2 - 5 ," C, Woocommerce, Magento, Wordpress, MySQL, PHP, Shopify, JQuery, Web Development, Ajax",Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Java Developer,1 - 2 ," CSS, Singleton, XML, Javascript, JDBC, Struts, JSON, HTML, Spring Boot, JQuery",Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sr. Manager- Business Development,15 - 22 ," Business Development Management, Bd, Marketing, business development, Projects, business development manager, bdm, Tendering, Proposal",Corporate Sales,Ahmedabad,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 Test Principal Engineer,8 - 10 ," Ethical Hacking, Certified Ethical Hacker, Networking Protocols, Penetration Testing, Nessus, NMAP, Fortify, Vulnerability Assessment, Appscan, Qualys",Programming & Design,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Graphic Designer,2 - 7 ," Graphic designing, Graphics, adobe creative suite, Architecture, MS Office, Business Executive",Creative,Ahmedabad,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer
 Business Development Executive,1 - 3 ," Payment collection, Costing, Business Development Executive, Lead generation, Sales, Vendor, Cost",Corporate Sales,Bengaluru,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
 Animation Resident,2 - 6 ," Internship, Digital marketing, Social media, Relationship building, Animation, Creative, Indesign, Business Executive, Presentation skills, Senior",Advertising,Delhi,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive
Enterprise Business Development Representative,1 - 3 ,"market penetration,marketing,customer satisfaction,enterprise business,web technologies,business development,strategy,aws,sales",Channel Sales,Bengaluru,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer
 Dot Net Developer,2 - 5 ," jquery, git, microsoft sql server, net asp net, software, testing, ado.net, microsoft, tools, sql, unit tests, database, application, web, design, .net, object oriented programming, support, programming",Programming & Design,"Chennai,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Urgent Opening for ""US Staffing Professionals"" - Noida",1 - 5 ,"technical recruitment, us staffing, us recruitment, us recruiter, us it staffing, technical recruiter, it recruiter, recruiter, w2, c2c, talent acquisition, recruitment, staffing, sourcing",HR/ Recruitment / IR,"Delhi NCR,Noida","HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Front Office Executive-Noida,1 - 2 , Front Office Executive,,Noida,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist
 Project Executive/coordinator,2 - 4 ," Project Administration, Coordination",Sales Support,Delhi (Bhikaji Cama) ,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator
 Sterling OMS Architect,5 - 10 ," Order Management system, Sterling Commerce, Sterling, OMS, Sterling Integrator, ecommerce, E - commerce",System Design/Implementation/ERP/CRM,Chennai,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect
 Dot net Developer,3 - 5 ," analytical, documentation, web development, algorithms, development, javascript, sql server, jquery, database, web, flex, design, mysql, net",Programming & Design,"Gurgaon,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Centreless Grinding Operator ,4 - 8 , NCTVT,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,8 - 13 ," Drupal, Application programming, MySQL, Wordpress, PHP, CakePHP, Team Leader, MVC, Zend, Software services",Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Sales Lead,3 - 7 ," Outbound, Sales, Project management, Analytical, Sales Lead, Automation tools, Sales process, marketing automation",Retail Sales,Bengaluru,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
Clerk - Garh Shankar (Vacancy-1),,,,Chandigarh,"Executive Assistant , Front Office , Data Entry","Government, Defence",
 Senior Design Engineer - Manufacturing,6 - 8 ,"AutoCAD, 3D Modeling, FMEA, Mechanical Engineering, Mechanical Design, SolidWorks",Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager
 Software Engineer Automation - Industrial Automation Job In Bangalore,3 - 5 , Automation Engineer,Engineering Design,Bengaluru,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead
 Looking For Assistant Manager - Healthcare (US Visa is Must),5 - 10 ," Revenue Cycle Management, US Healthcare, Payment Posting, Medical Billing, Medical Coding, us visa, Team Leading Skills, Healthcare, Denial Management, RCM",Back Office/Web/Transaction Processing,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical)
 Senior Accounts Executive,4 - 8 ,,Accounts,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
QA for Voice Process (LE-0097-N1C),2 - 6 ," Voice process, qaqc, Writing, Process operations, Verbal",Quality,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",0 - 3 ," Patient Care, Nursing, People Orientation, Report Generation, Service Quality, Disaster Management, Customer Care, Medical, Process Orientation",,Delhi NCR,Other,"Medical, Healthcare, Hospitals",Other
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,4 - 9 ," Predictive Modeling, SAS, Data Management, Data Mining, Tableau, Data Analytics, Statistics, Analytics, SQL, Python",Analytics & BI,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager
 Executive Medical Coder,0 - 0 ," molecular biology, chemistry, biotechnology, bhms, biology, Physiotherapy, microbiology, nursing, biomedical, Physics, medical coding, biochemistry, pharmacy, Ophthalmology, micro biology, Bioinformatics, zoology, biotech",Other,"Chennai,Thanjavur,Karur,Salem,Hosur,Coimbatore","ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee
 Account Assistant,3 - 5 ," accounts executive, accountant, Stock Management, gst, auditing, Statutory Compliance, accounting, Account Assistant, Bank Reconciliation, tax audit, banking, monthly reports, Payroll, salary processing, income tax, Income Tax Return, taxation",Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant
 Informatica Faculty Job Requirement in Hyderabad,1 - 6 ," Informatica Power Center, Informatica",Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
